experiment, speed, rounds, time
01, 30, 10, [ 54.6, 55.42 ]
02, 35, 10, [ 47.49, 48.21, 48.15, 48.10 ]
03, 40, 10, [ 42.26, 43.23, 43.83, 42.75, 42.94, 43.03 ]
04, 45,  3, [ 39.02, 39.06 ]
05, 45,  2, [ 38.50 ]
06, 45,  9, [ 38.85, 38.64, 38.97, 38.76, 39.01, 38.19 ]
07, 50,  5, [ 36.72, 35.60, 36.02, 35.65 ]
08, 50,  0, {}
09, 50,  2, {}
10, 50,  3, {}
11, 55, 0, {}
12, 55, 0, {}
13, 55, 1, { 33.81 }
